Kabupaten/ Kota,Measure Names,provinsi,Tanggal,Measure Values
KEPAHIANG,Treatment (%/minggu),BENGKULU,31/08/2021,"3,439,153"
JENEPONTO,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"33,101,045"
PULAU MOROTAI,Treatment (%/minggu),MALUKU UTARA,31/08/2021,"18,224,299"
MANGGARAI BARAT,Treatment (%/minggu),NTT,31/08/2021,"23,963,134"
JEMBER,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"28,120,713"
BULUKUMBA,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"81,632,653"
KOTA BATAM,Treatment (%/minggu),KEP. RIAU,31/08/2021,"33,273,056"
LABUHANBATU SELATAN,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"25,210,084"
LAMPUNG SELATAN,Treatment (%/minggu),LAMPUNG,31/08/2021,"25,048,356"
SARMI,Treatment (%/minggu),PAPUA,31/08/2021,0
BONE,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"29,166,667"
KOTA TANJUNG BALAI,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"48,214,286"
LOMBOK TIMUR,Treatment (%/minggu),NTB,31/08/2021,"2,907,489"
PESISIR SELATAN,Treatment (%/minggu),SUMATERA BARAT,31/08/2021,"22,603,978"
SUKABUMI,Treatment (%/minggu),JAWA BARAT,31/08/2021,"20,601,045"
ENREKANG,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"55,172,414"
MESUJI,Treatment (%/minggu),LAMPUNG,31/08/2021,"24,423,963"
SIDOARJO,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"18,597,735"
NAGAN RAYA,Treatment (%/minggu),ACEH,31/08/2021,"74,404,762"
BIAK NUMFOR,Treatment (%/minggu),PAPUA,31/08/2021,"5,408,163"
PINRANG,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"47,478,992"
KEBUMEN,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"26,201,269"
KOLAKA,Treatment (%/minggu),SULAWESI TENGGARA,31/08/2021,"74,725,275"
ACEH BARAT DAYA,Treatment (%/minggu),ACEH,31/08/2021,"27,380,952"
SERUYAN,Treatment (%/minggu),KALIMANTAN TENGAH,31/08/2021,"8,571,429"
LOMBOK BARAT,Treatment (%/minggu),NTB,31/08/2021,"14,313,099"
BEKASI,Treatment (%/minggu),JAWA BARAT,31/08/2021,"11,845,233"
KOTA TANGERANG,Treatment (%/minggu),BANTEN,31/08/2021,"15,730,227"
GOWA,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"30,654,762"
LABUHANBATU,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"13,015,873"
BANYUWANGI,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"20,472,441"
BENGKULU TENGAH,Treatment (%/minggu),BENGKULU,31/08/2021,"5,714,286"
HALMAHERA SELATAN,Treatment (%/minggu),MALUKU UTARA,31/08/2021,"1,302,521"
MAMUJU,Treatment (%/minggu),SULAWESI BARAT,31/08/2021,"2,797,619"
ACEH JAYA,Treatment (%/minggu),ACEH,31/08/2021,40
SUMBAWA BARAT,Treatment (%/minggu),NTB,31/08/2021,"23,636,364"
KARAWANG,Treatment (%/minggu),JAWA BARAT,31/08/2021,"100,421"
KOTA CILEGON,Treatment (%/minggu),BANTEN,31/08/2021,"25,990,676"
BENER MERIAH,Treatment (%/minggu),ACEH,31/08/2021,"24,719,101"
PAKPAK BHARAT,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"14,693,878"
KOTA SORONG,Treatment (%/minggu),PAPUA BARAT,31/08/2021,"5,905,826"
KOTA CIMAHI,Treatment (%/minggu),JAWA BARAT,31/08/2021,"17,396,715"
TELUK BINTUNI,Treatment (%/minggu),PAPUA BARAT,31/08/2021,"24,025,974"
SEKADAU,Treatment (%/minggu),KALIMANTAN BARAT,31/08/2021,"6,428,571"
KOTAWARINGIN BARAT,Treatment (%/minggu),KALIMANTAN TENGAH,31/08/2021,"21,952,818"
SAMBAS,Treatment (%/minggu),KALIMANTAN BARAT,31/08/2021,"12,467,532"
GORONTALO,Treatment (%/minggu),GORONTALO,31/08/2021,"30,444,965"
SORONG SELATAN,Treatment (%/minggu),PAPUA BARAT,31/08/2021,"51,428,571"
LANGKAT,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"18,350,269"
TORAJA UTARA,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"23,041,475"
ENDE,Treatment (%/minggu),NTT,31/08/2021,"17,006,803"
KOTA SIBOLGA,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"18,647,764"
ASAHAN,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"23,722,944"
TIMOR TENGAH SELATAN,Treatment (%/minggu),NTT,31/08/2021,"37,5"
TULUNGAGUNG,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"29,327,139"
KOTA PARIAMAN,Treatment (%/minggu),SUMATERA BARAT,31/08/2021,"17,669,173"
KOTA TIDORE KEPULAUAN,Treatment (%/minggu),MALUKU UTARA,31/08/2021,"15,277,778"
YAHUKIMO,Treatment (%/minggu),PAPUA,31/08/2021,"36,363,636"
MAJENE,Treatment (%/minggu),SULAWESI BARAT,31/08/2021,"32,142,857"
KOTA KENDARI,Treatment (%/minggu),SULAWESI TENGGARA,31/08/2021,"15,774,379"
JOMBANG,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"34,934,138"
GRESIK,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"15,232,606"
SRAGEN,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"20,098,784"
POLEWALI MANDAR,Treatment (%/minggu),SULAWESI BARAT,31/08/2021,"27,805,362"
SIMEULUE,Treatment (%/minggu),ACEH,31/08/2021,"23,809,524"
MALUKU TENGGARA,Treatment (%/minggu),MALUKU,31/08/2021,"2,941,176"
PURBALINGGA,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"33,806,262"
DHARMASRAYA,Treatment (%/minggu),SUMATERA BARAT,31/08/2021,"71,428,571"
PANGANDARAN,Treatment (%/minggu),JAWA BARAT,31/08/2021,"21,818,182"
KAPUAS HULU,Treatment (%/minggu),KALIMANTAN BARAT,31/08/2021,"12,471,655"
MALANG,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"41,724,671"
SIJUNJUNG,Treatment (%/minggu),SUMATERA BARAT,31/08/2021,"21,428,571"
LUWU,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"28,571,429"
BIREUEN,Treatment (%/minggu),ACEH,31/08/2021,"54,857,143"
ROKAN HILIR,Treatment (%/minggu),RIAU,31/08/2021,"26,587,302"
TELUK WONDAMA,Treatment (%/minggu),PAPUA BARAT,31/08/2021,"8,503,401"
KOTA SUBULUSSALAM,Treatment (%/minggu),ACEH,31/08/2021,"69,285,714"
SIMALUNGUN,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"26,560,951"
MAROS,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"15,514,593"
KOTA PRABUMULIH,Treatment (%/minggu),SUMATERA SELATAN,31/08/2021,"2,454,844"
TAPANULI UTARA,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"15,584,416"
CILACAP,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"16,749,627"
CIAMIS,Treatment (%/minggu),JAWA BARAT,31/08/2021,"36,589,862"
DAIRI,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"20,857,143"
ACEH SINGKIL,Treatment (%/minggu),ACEH,31/08/2021,"18,571,429"
KONAWE UTARA,Treatment (%/minggu),SULAWESI TENGGARA,31/08/2021,"14,285,714"
LABUHANBATU UTARA,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"41,964,286"
PESAWARAN,Treatment (%/minggu),LAMPUNG,31/08/2021,"45,652,174"
MUKO MUKO,Treatment (%/minggu),BENGKULU,31/08/2021,"12,903,226"
KOTA BANDUNG,Treatment (%/minggu),JAWA BARAT,31/08/2021,"30,669,546"
NGAWI,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"32,834,705"
SUMBA BARAT DAYA,Treatment (%/minggu),NTT,31/08/2021,"8,447,205"
TEBO,Treatment (%/minggu),JAMBI,31/08/2021,"27,428,571"
BARRU,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"28,214,286"
SANGGAU,Treatment (%/minggu),KALIMANTAN BARAT,31/08/2021,"21,884,498"
BUNGO,Treatment (%/minggu),JAMBI,31/08/2021,"22,612,245"
MUARO JAMBI,Treatment (%/minggu),JAMBI,31/08/2021,"13,781,513"
PIDIE JAYA,Treatment (%/minggu),ACEH,31/08/2021,"59,663,866"
KONAWE SELATAN,Treatment (%/minggu),SULAWESI TENGGARA,31/08/2021,"5,830,904"
KOTA MOJOKERTO,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"30,110,375"
WONOGIRI,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"3,372,093"
TIMOR TENGAH UTARA,Treatment (%/minggu),NTT,31/08/2021,"31,719,128"
MAPPI,Treatment (%/minggu),PAPUA,31/08/2021,100
LAMPUNG TIMUR,Treatment (%/minggu),LAMPUNG,31/08/2021,"40,178,571"
KOTA TANGERANG SELATAN,Treatment (%/minggu),BANTEN,31/08/2021,"26,820,641"
PANGKAJENE KEPULAUAN,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"36,796,537"
KLATEN,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"27,623,991"
BONE BOLANGO,Treatment (%/minggu),GORONTALO,31/08/2021,"29,824,561"
LANDAK,Treatment (%/minggu),KALIMANTAN BARAT,31/08/2021,"47,735,192"
GORONTALO UTARA,Treatment (%/minggu),GORONTALO,31/08/2021,"16,190,476"
KOTA BATU,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"26,082,772"
KOTA PARE PARE,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"28,051,948"
KUPANG,Treatment (%/minggu),NTT,31/08/2021,"36,734,694"
PASAMAN BARAT,Treatment (%/minggu),SUMATERA BARAT,31/08/2021,"59,253,247"
KOTA BITUNG,Treatment (%/minggu),SULAWESI UTARA,31/08/2021,"21,516,755"
LAMANDAU,Treatment (%/minggu),KALIMANTAN TENGAH,31/08/2021,"3,809,524"
SOLOK SELATAN,Treatment (%/minggu),SUMATERA BARAT,31/08/2021,"3,627,451"
KEPULAUAN TALAUD,Treatment (%/minggu),SULAWESI UTARA,31/08/2021,"11,494,253"
PAHUWATO,Treatment (%/minggu),GORONTALO,31/08/2021,"31,460,674"
MANGGARAI TIMUR,Treatment (%/minggu),NTT,31/08/2021,0
BENGKULU UTARA,Treatment (%/minggu),BENGKULU,31/08/2021,"26,648,352"
TANJUNG JABUNG TIMUR,Treatment (%/minggu),JAMBI,31/08/2021,22
KOTA PALEMBANG,Treatment (%/minggu),SUMATERA SELATAN,31/08/2021,"2,535,334"
KOLAKA TIMUR,Treatment (%/minggu),SULAWESI TENGGARA,31/08/2021,0
TOLI TOLI,Treatment (%/minggu),SULAWESI TENGAH,31/08/2021,"33,684,211"
BANYUMAS,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"23,765,195"
LIMA PULUH KOTA,Treatment (%/minggu),SUMATERA BARAT,31/08/2021,"33,170,732"
KOTA JAKARTA TIMUR,Treatment (%/minggu),DKI JAKARTA,31/08/2021,"16,981,019"
NGANJUK,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"28,625,034"
BARITO UTARA,Treatment (%/minggu),KALIMANTAN TENGAH,31/08/2021,"39,944,521"
JAYAWIJAYA,Treatment (%/minggu),PAPUA,31/08/2021,"771,777"
KOTA BOGOR,Treatment (%/minggu),JAWA BARAT,31/08/2021,"18,006,511"
KOTA LANGSA,Treatment (%/minggu),ACEH,31/08/2021,"53,877,551"
KOTAWARINGIN TIMUR,Treatment (%/minggu),KALIMANTAN TENGAH,31/08/2021,"14,419,852"
PASANGKAYU,Treatment (%/minggu),SULAWESI BARAT,31/08/2021,75
