Kabupaten/ Kota,Measure Names,provinsi,Tanggal,Measure Values
KARANGASEM,Treatment (%/minggu),BALI,31/08/2021,"72,326,103"
SUKOHARJO,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"23,446,894"
MINAHASA TENGGARA,Treatment (%/minggu),SULAWESI UTARA,31/08/2021,"13,227,513"
KOTA JAKARTA UTARA,Treatment (%/minggu),DKI JAKARTA,31/08/2021,"14,566,128"
KOTA BANDAR LAMPUNG,Treatment (%/minggu),LAMPUNG,31/08/2021,"4,137,342"
JAYAPURA,Treatment (%/minggu),PAPUA,31/08/2021,"35,714,286"
BANJAR,Treatment (%/minggu),KALIMANTAN SELATAN,31/08/2021,"42,857,143"
KUBU RAYA,Treatment (%/minggu),KALIMANTAN BARAT,31/08/2021,"41,741,071"
MAMUJU TENGAH,Treatment (%/minggu),SULAWESI BARAT,31/08/2021,"7,539,683"
BINTAN,Treatment (%/minggu),KEP. RIAU,31/08/2021,"8,078,995"
INDRAGIRI HULU,Treatment (%/minggu),RIAU,31/08/2021,"6,025,974"
PACITAN,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"33,771,353"
KEDIRI,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"27,639,098"
BLITAR,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"42,809,643"
BANGGAI LAUT,Treatment (%/minggu),SULAWESI TENGAH,31/08/2021,"18,045,113"
INDRAGIRI HILIR,Treatment (%/minggu),RIAU,31/08/2021,"39,619,048"
KUANTAN SINGINGI,Treatment (%/minggu),RIAU,31/08/2021,"28,061,224"
BARITO KUALA,Treatment (%/minggu),KALIMANTAN SELATAN,31/08/2021,"29,965,157"
KOTA JAKARTA PUSAT,Treatment (%/minggu),DKI JAKARTA,31/08/2021,"19,880,546"
KOTA JAKARTA SELATAN,Treatment (%/minggu),DKI JAKARTA,31/08/2021,"23,874,155"
GAYO LUES,Treatment (%/minggu),ACEH,31/08/2021,"30,888,031"
MALAKA,Treatment (%/minggu),NTT,31/08/2021,"29,220,779"
TANJUNG JABUNG BARAT,Treatment (%/minggu),JAMBI,31/08/2021,"35,313,002"
MEMPAWAH,Treatment (%/minggu),KALIMANTAN BARAT,31/08/2021,"40,879,121"
LAMPUNG BARAT,Treatment (%/minggu),LAMPUNG,31/08/2021,"45,283,019"
TANAH DATAR,Treatment (%/minggu),SUMATERA BARAT,31/08/2021,"38,392,857"
KOTA SERANG,Treatment (%/minggu),BANTEN,31/08/2021,"22,048,067"
KATINGAN,Treatment (%/minggu),KALIMANTAN TENGAH,31/08/2021,"12,908,012"
MADIUN,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"28,966,425"
TRENGGALEK,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"37,001,764"
KOTA BANJAR,Treatment (%/minggu),JAWA BARAT,31/08/2021,"45,472,837"
KOTA PONTIANAK,Treatment (%/minggu),KALIMANTAN BARAT,31/08/2021,"28,482,559"
KOTA SINGKAWANG,Treatment (%/minggu),KALIMANTAN BARAT,31/08/2021,"8,944,468"
SERDANG BEDAGAI,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"41,605,839"
MAMASA,Treatment (%/minggu),SULAWESI BARAT,31/08/2021,"22,857,143"
KOTA DEPOK,Treatment (%/minggu),JAWA BARAT,31/08/2021,"21,733,995"
HULU SUNGAI UTARA,Treatment (%/minggu),KALIMANTAN SELATAN,31/08/2021,"36,507,937"
TAPIN,Treatment (%/minggu),KALIMANTAN SELATAN,31/08/2021,"55,873,016"
KOTA SALATIGA,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"17,119,114"
KOTA JAYAPURA,Treatment (%/minggu),PAPUA,31/08/2021,"35,291,353"
KOTA PROBOLINGGO,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"23,118,866"
FLORES TIMUR,Treatment (%/minggu),NTT,31/08/2021,"965,251"
MANGGARAI,Treatment (%/minggu),NTT,31/08/2021,"43,640,351"
KOTA KEDIRI,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"2,715,249"
KAPUAS,Treatment (%/minggu),KALIMANTAN TENGAH,31/08/2021,"34,140,436"
PULANG PISAU,Treatment (%/minggu),KALIMANTAN TENGAH,31/08/2021,"22,386,224"
KAMPAR,Treatment (%/minggu),RIAU,31/08/2021,"41,496,599"
BOYOLALI,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"14,539,708"
KOTA BENGKULU,Treatment (%/minggu),BENGKULU,31/08/2021,"27,664,399"
KOTA MAGELANG,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"16,748,768"
KETAPANG,Treatment (%/minggu),KALIMANTAN BARAT,31/08/2021,"23,708,207"
KEPULAUAN MERANTI,Treatment (%/minggu),RIAU,31/08/2021,"56,326,531"
LEBONG,Treatment (%/minggu),BENGKULU,31/08/2021,"8,730,159"
TANAH BUMBU,Treatment (%/minggu),KALIMANTAN SELATAN,31/08/2021,"53,026,634"
AGAM,Treatment (%/minggu),SUMATERA BARAT,31/08/2021,"27,142,857"
HALMAHERA UTARA,Treatment (%/minggu),MALUKU UTARA,31/08/2021,"16,402,116"
ROTE NDAO,Treatment (%/minggu),NTT,31/08/2021,"27,857,143"
KOTA SURABAYA,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"19,939,054"
KOTA SAMARINDA,Treatment (%/minggu),KALIMANTAN TIMUR,31/08/2021,"47,255,301"
ACEH TENGAH,Treatment (%/minggu),ACEH,31/08/2021,"46,766,917"
MAGETAN,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"33,711,615"
PURWOREJO,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"19,385,797"
HULU SUNGAI SELATAN,Treatment (%/minggu),KALIMANTAN SELATAN,31/08/2021,"3,449,848"
SAMOSIR,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"16,190,476"
KARANGANYAR,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"22,051,495"
PRINGSEWU,Treatment (%/minggu),LAMPUNG,31/08/2021,"26,196,636"
KOTA MATARAM,Treatment (%/minggu),NTB,31/08/2021,"31,841,514"
BATANGHARI,Treatment (%/minggu),JAMBI,31/08/2021,"18,348,624"
BULELENG,Treatment (%/minggu),BALI,31/08/2021,"6,731,794"
DONGGALA,Treatment (%/minggu),SULAWESI TENGAH,31/08/2021,"44,155,844"
KOTA BEKASI,Treatment (%/minggu),JAWA BARAT,31/08/2021,"14,008,211"
KOTA MANADO,Treatment (%/minggu),SULAWESI UTARA,31/08/2021,"37,825,564"
TOBA SAMOSIR,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"38,095,238"
DELI SERDANG,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"43,008,048"
MERAUKE,Treatment (%/minggu),PAPUA,31/08/2021,"37,399,679"
SUKAMARA,Treatment (%/minggu),KALIMANTAN TENGAH,31/08/2021,"8,116,883"
SINTANG,Treatment (%/minggu),KALIMANTAN BARAT,31/08/2021,"33,156,028"
KOTA MAKASSAR,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"2,842,784"
BENGKALIS,Treatment (%/minggu),RIAU,31/08/2021,"34,844,869"
MELAWI,Treatment (%/minggu),KALIMANTAN BARAT,31/08/2021,"30,612,245"
LUWU UTARA,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"29,896,907"
PIDIE,Treatment (%/minggu),ACEH,31/08/2021,"72,413,793"
PONOROGO,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"4,919,864"
ACEH SELATAN,Treatment (%/minggu),ACEH,31/08/2021,"2,555,332"
SINJAI,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"58,201,058"
MINAHASA,Treatment (%/minggu),SULAWESI UTARA,31/08/2021,"39,700,375"
KOTA KOTAMOBAGU,Treatment (%/minggu),SULAWESI UTARA,31/08/2021,"46,208,113"
MANOKWARI,Treatment (%/minggu),PAPUA BARAT,31/08/2021,"11,608,392"
SUMBA TIMUR,Treatment (%/minggu),NTT,31/08/2021,"29,483,283"
GUNUNG MAS,Treatment (%/minggu),KALIMANTAN TENGAH,31/08/2021,"17,021,277"
KOTA DUMAI,Treatment (%/minggu),RIAU,31/08/2021,"39,634,801"
KOTA GORONTALO,Treatment (%/minggu),GORONTALO,31/08/2021,"38,001,638"
KOTA BINJAI,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"46,465,696"
MINAHASA UTARA,Treatment (%/minggu),SULAWESI UTARA,31/08/2021,"33,990,148"
KARIMUN,Treatment (%/minggu),KEP. RIAU,31/08/2021,"1,998,002"
NABIRE,Treatment (%/minggu),PAPUA,31/08/2021,"45,454,545"
KOTA BANJARMASIN,Treatment (%/minggu),KALIMANTAN SELATAN,31/08/2021,"34,623,431"
HALMAHERA TIMUR,Treatment (%/minggu),MALUKU UTARA,31/08/2021,50
BANGGAI KEPULAUAN,Treatment (%/minggu),SULAWESI TENGAH,31/08/2021,"31,746,032"
KOTA LHOKSEUMAWE,Treatment (%/minggu),ACEH,31/08/2021,"41,803,279"
KOTA PALOPO,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"36,030,829"
NGADA,Treatment (%/minggu),NTT,31/08/2021,"8,374,384"
KOTA MALANG,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"45,682,451"
KAYONG UTARA,Treatment (%/minggu),KALIMANTAN BARAT,31/08/2021,"27,472,527"
KOTA PAYAKUMBUH,Treatment (%/minggu),SUMATERA BARAT,31/08/2021,"41,860,465"
KOTA SUKABUMI,Treatment (%/minggu),JAWA BARAT,31/08/2021,"23,563,734"
SOPPENG,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"26,229,508"
GUNUNGKIDUL,Treatment (%/minggu),DI YOGYAKARTA,31/08/2021,"39,945,405"
SIAK,Treatment (%/minggu),RIAU,31/08/2021,"49,243,697"
LUWU TIMUR,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"47,376,093"
BOLAANG MONGONDOW TIMUR,Treatment (%/minggu),SULAWESI UTARA,31/08/2021,
KOTA TEBING TINGGI,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"32,059,021"
KOTA SURAKARTA,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"26,064,533"
HULU SUNGAI TENGAH,Treatment (%/minggu),KALIMANTAN SELATAN,31/08/2021,"22,591,362"
MIMIKA,Treatment (%/minggu),PAPUA,31/08/2021,"53,333,333"
PARIGI MOUTONG,Treatment (%/minggu),SULAWESI TENGAH,31/08/2021,"3,647,619"
KEPULAUAN ANAMBAS,Treatment (%/minggu),KEP. RIAU,31/08/2021,"8,571,429"
ACEH BARAT,Treatment (%/minggu),ACEH,31/08/2021,"30,803,571"
SUMBA BARAT,Treatment (%/minggu),NTT,31/08/2021,"33,739,837"
BALANGAN,Treatment (%/minggu),KALIMANTAN SELATAN,31/08/2021,"48,853,616"
MOROWALI,Treatment (%/minggu),SULAWESI TENGAH,31/08/2021,"39,915,966"
JEMBRANA,Treatment (%/minggu),BALI,31/08/2021,"55,594,714"
KLUNGKUNG,Treatment (%/minggu),BALI,31/08/2021,"60,345,932"
KOTA METRO,Treatment (%/minggu),LAMPUNG,31/08/2021,"29,264,392"
SABU RAIJUA,Treatment (%/minggu),NTT,31/08/2021,"2,197,802"
KOTA TANJUNG PINANG,Treatment (%/minggu),KEP. RIAU,31/08/2021,"30,411,985"
BARITO TIMUR,Treatment (%/minggu),KALIMANTAN TENGAH,31/08/2021,"25,353,925"
BELU,Treatment (%/minggu),NTT,31/08/2021,"55,059,524"
KOTA YOGYAKARTA,Treatment (%/minggu),DI YOGYAKARTA,31/08/2021,"35,730,556"
KOTA JAMBI,Treatment (%/minggu),JAMBI,31/08/2021,"417,481"
ACEH TAMIANG,Treatment (%/minggu),ACEH,31/08/2021,"53,571,429"
KOTA SOLOK,Treatment (%/minggu),SUMATERA BARAT,31/08/2021,"66,885,965"
KOTA SAWAHLUNTO,Treatment (%/minggu),SUMATERA BARAT,31/08/2021,"34,857,143"
KOTA PADANG,Treatment (%/minggu),SUMATERA BARAT,31/08/2021,"45,525,666"
BENGKAYANG,Treatment (%/minggu),KALIMANTAN BARAT,31/08/2021,"41,964,286"
PASER,Treatment (%/minggu),KALIMANTAN TIMUR,31/08/2021,"50,086,059"
SIGI,Treatment (%/minggu),SULAWESI TENGAH,31/08/2021,"41,596,639"
LINGGA,Treatment (%/minggu),KEP. RIAU,31/08/2021,"11,688,312"
BADUNG,Treatment (%/minggu),BALI,31/08/2021,"66,631,356"
BARITO SELATAN,Treatment (%/minggu),KALIMANTAN TENGAH,31/08/2021,"37,946,429"
ACEH BESAR,Treatment (%/minggu),ACEH,31/08/2021,80
BANGKA BARAT,Treatment (%/minggu),KEP. BANGKA BELITUNG,31/08/2021,"24,857,143"
PENAJAM PASER UTARA,Treatment (%/minggu),KALIMANTAN TIMUR,31/08/2021,"39,408,867"
GIANYAR,Treatment (%/minggu),BALI,31/08/2021,"61,199,827"
KUTAI KARTANEGARA,Treatment (%/minggu),KALIMANTAN TIMUR,31/08/2021,"61,629,881"
BANGKA SELATAN,Treatment (%/minggu),KEP. BANGKA BELITUNG,31/08/2021,"38,916,256"
NATUNA,Treatment (%/minggu),KEP. RIAU,31/08/2021,"36,813,187"
KEPULAUAN MENTAWAI,Treatment (%/minggu),SUMATERA BARAT,31/08/2021,"21,142,857"
SUMBA TENGAH,Treatment (%/minggu),NTT,31/08/2021,"26,890,756"
TABANAN,Treatment (%/minggu),BALI,31/08/2021,"52,178,649"
PULAU TALIABU,Treatment (%/minggu),MALUKU UTARA,31/08/2021,25
TOJO UNA UNA,Treatment (%/minggu),SULAWESI TENGAH,31/08/2021,"30,075,188"
MINAHASA SELATAN,Treatment (%/minggu),SULAWESI UTARA,31/08/2021,"50,515,464"
BANGGAI,Treatment (%/minggu),SULAWESI TENGAH,31/08/2021,"47,689,076"
KOTA PEKANBARU,Treatment (%/minggu),RIAU,31/08/2021,"41,442,865"
KOTA BUKITTINGGI,Treatment (%/minggu),SUMATERA BARAT,31/08/2021,"3,992,674"
KOTA MADIUN,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"52,676,723"
KOTA BALIKPAPAN,Treatment (%/minggu),KALIMANTAN TIMUR,31/08/2021,"44,526,829"
TANAH LAUT,Treatment (%/minggu),KALIMANTAN SELATAN,31/08/2021,"71,911,197"
KOTA BANJARBARU,Treatment (%/minggu),KALIMANTAN SELATAN,31/08/2021,"59,197,012"
KOTA TOMOHON,Treatment (%/minggu),SULAWESI UTARA,31/08/2021,"55,633,803"
KOTA CIREBON,Treatment (%/minggu),JAWA BARAT,31/08/2021,"13,661,814"
TANA TORAJA,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"32,754,538"
KOTA PADANG PANJANG,Treatment (%/minggu),SUMATERA BARAT,31/08/2021,"33,540,373"
BANGLI,Treatment (%/minggu),BALI,31/08/2021,"53,261,767"
KOTA KUPANG,Treatment (%/minggu),NTT,31/08/2021,"35,677,467"
KOTA PALANGKARAYA,Treatment (%/minggu),KALIMANTAN TENGAH,31/08/2021,"42,328,875"
KOTA PEMATANGSIANTAR,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"42,622,951"
KULON PROGO,Treatment (%/minggu),DI YOGYAKARTA,31/08/2021,"30,079,455"
BOVEN DIGOEL,Treatment (%/minggu),PAPUA,31/08/2021,"53,161,593"
BANGKA,Treatment (%/minggu),KEP. BANGKA BELITUNG,31/08/2021,"49,799,358"
KOTA SABANG,Treatment (%/minggu),ACEH,31/08/2021,"60,098,522"
NUNUKAN,Treatment (%/minggu),KALIMANTAN UTARA,31/08/2021,"24,012,158"
MAHAKAM ULU,Treatment (%/minggu),KALIMANTAN TIMUR,31/08/2021,"797,619"
KOTA PALU,Treatment (%/minggu),SULAWESI TENGAH,31/08/2021,"55,401,517"
BUOL,Treatment (%/minggu),SULAWESI TENGAH,31/08/2021,"36,038,961"
KOTA MEDAN,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"51,238,942"
MOROWALI UTARA,Treatment (%/minggu),SULAWESI TENGAH,31/08/2021,"55,918,367"
KOTA DENPASAR,Treatment (%/minggu),BALI,31/08/2021,"59,118,852"
TABALONG,Treatment (%/minggu),KALIMANTAN SELATAN,31/08/2021,"70,395,869"
BELITUNG,Treatment (%/minggu),KEP. BANGKA BELITUNG,31/08/2021,"53,333,333"
KUTAI TIMUR,Treatment (%/minggu),KALIMANTAN TIMUR,31/08/2021,"47,738,693"
SLEMAN,Treatment (%/minggu),DI YOGYAKARTA,31/08/2021,"3,508,723"
KOTA BLITAR,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"34,036,733"
BANTUL,Treatment (%/minggu),DI YOGYAKARTA,31/08/2021,"43,330,981"
POSO,Treatment (%/minggu),SULAWESI TENGAH,31/08/2021,"5,609,375"
SORONG,Treatment (%/minggu),PAPUA BARAT,31/08/2021,"7,962,529"
BANGKA TENGAH,Treatment (%/minggu),KEP. BANGKA BELITUNG,31/08/2021,"59,359,606"
KOTA TARAKAN,Treatment (%/minggu),KALIMANTAN UTARA,31/08/2021,"51,344,743"
MALINAU,Treatment (%/minggu),KALIMANTAN UTARA,31/08/2021,"37,092,732"
TANA TIDUNG,Treatment (%/minggu),KALIMANTAN UTARA,31/08/2021,0
KUTAI BARAT,Treatment (%/minggu),KALIMANTAN TIMUR,31/08/2021,"51,746,032"
KOTA BANDA ACEH,Treatment (%/minggu),ACEH,31/08/2021,"66,211,929"
BELITUNG TIMUR,Treatment (%/minggu),KEP. BANGKA BELITUNG,31/08/2021,"31,135,531"
KOTA BONTANG,Treatment (%/minggu),KALIMANTAN TIMUR,31/08/2021,"4,091,842"
KOTA PANGKAL PINANG,Treatment (%/minggu),KEP. BANGKA BELITUNG,31/08/2021,"7,881,449"
BERAU,Treatment (%/minggu),KALIMANTAN TIMUR,31/08/2021,"51,074,114"
BULUNGAN,Treatment (%/minggu),KALIMANTAN UTARA,31/08/2021,"73,184,358"
BURU,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),MALUKU,31/08/2021,0
BUTON SELATAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI TENGGARA,31/08/2021,0
DEIYAI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA,31/08/2021,0
DOGIYAI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA,31/08/2021,0
INTAN JAYA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA,31/08/2021,0
KEPULAUAN ARU,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),MALUKU,31/08/2021,0
KONAWE KEPULAUAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI TENGGARA,31/08/2021,0
MAMBERAMO RAYA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA,31/08/2021,0
MANOKWARI SELATAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA BARAT,31/08/2021,0
MAYBRAT,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA BARAT,31/08/2021,0
PEGUNUNGAN ARFAK,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA BARAT,31/08/2021,0
PUNCAK JAYA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA,31/08/2021,0
MUNA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI TENGGARA,31/08/2021,4
KEPULAUAN SULA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),MALUKU UTARA,31/08/2021,22
BUTON TENGAH,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI TENGGARA,31/08/2021,0
MANDAILING NATAL,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA UTARA,31/08/2021,1
PANIAI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA,31/08/2021,0
YALIMO,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA,31/08/2021,0
BURU SELATAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),MALUKU,31/08/2021,0
PADANG LAWAS UTARA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA UTARA,31/08/2021,"1,5"
PUNCAK,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA,31/08/2021,0
NIAS SELATAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA UTARA,31/08/2021,0
KUDUS,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TENGAH,31/08/2021,"53,125"
PEKALONGAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TENGAH,31/08/2021,"3,625"
OGAN KOMERING ILIR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA SELATAN,31/08/2021,0
SAROLANGUN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAMBI,31/08/2021,4
SERAM BAGIAN BARAT,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),MALUKU,31/08/2021,0
GROBOGAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TENGAH,31/08/2021,"13,454,545"
SERAM BAGIAN TIMUR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),MALUKU,31/08/2021,0
KEPULAUAN TANIMBAR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),MALUKU,31/08/2021,0
MALUKU BARAT DAYA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),MALUKU,31/08/2021,0
EMPAT LAWANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA SELATAN,31/08/2021,"3,5"
KEPULAUAN SELAYAR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI SELATAN,31/08/2021,"5,166,667"
BIMA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),NTB,31/08/2021,"12,666,667"
MUSI RAWAS UTARA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA SELATAN,31/08/2021,"15,5"
BUTON UTARA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI TENGGARA,31/08/2021,0
KAUR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),BENGKULU,31/08/2021,0
KOTA SUNGAI PENUH,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAMBI,31/08/2021,1
BENGKULU SELATAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),BENGKULU,31/08/2021,3
HALMAHERA TENGAH,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),MALUKU UTARA,31/08/2021,0
NDUGA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA,31/08/2021,0
MALUKU TENGAH,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),MALUKU,31/08/2021,"1,888,889"
TULANG BAWANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),LAMPUNG,31/08/2021,0
PEGUNUNGAN BINTANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA,31/08/2021,0
KOTA TUAL,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),MALUKU,31/08/2021,0
LAMPUNG UTARA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),LAMPUNG,31/08/2021,0
KOTA BAU BAU,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI TENGGARA,31/08/2021,3
PEMALANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TENGAH,31/08/2021,9
OGAN KOMERING ULU,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA SELATAN,31/08/2021,2
LAHAT,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA SELATAN,31/08/2021,0
BANYUASIN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA SELATAN,31/08/2021,2
SUMENEP,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TIMUR,31/08/2021,"11,505,155"
SUPIORI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA,31/08/2021,0
MUNA BARAT,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI TENGGARA,31/08/2021,0
OGAN KOMERING ULU SELATAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA SELATAN,31/08/2021,0
BLORA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TENGAH,31/08/2021,"4,826,087"
BUTON,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI TENGGARA,31/08/2021,0
BATANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TENGAH,31/08/2021,"4,571,429"
PATI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TENGAH,31/08/2021,"17,583,333"
SERANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),BANTEN,31/08/2021,"3,5"
GARUT,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA BARAT,31/08/2021,"11,862,745"
MURUNG RAYA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN TENGAH,31/08/2021,0
HALMAHERA BARAT,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),MALUKU UTARA,31/08/2021,"2,666,667"
BANGKALAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TIMUR,31/08/2021,"6,26"
SELUMA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),BENGKULU,31/08/2021,0
PAMEKASAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TIMUR,31/08/2021,"14,806,452"
PASURUAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TIMUR,31/08/2021,"11,470,085"
TAPANULI SELATAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA UTARA,31/08/2021,"11,5"
PURWAKARTA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA BARAT,31/08/2021,"2,333,333"
KOTA AMBON,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),MALUKU,31/08/2021,2
OGAN ILIR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA SELATAN,31/08/2021,1
TAPANULI TENGAH,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA UTARA,31/08/2021,"10,285,714"
PADANG PARIAMAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA BARAT,31/08/2021,"2,5"
LANNY JAYA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA,31/08/2021,0
TANGERANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),BANTEN,31/08/2021,"2,851,852"
SEMARANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TENGAH,31/08/2021,"2,290,323"
NIAS BARAT,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA UTARA,31/08/2021,0
WAROPEN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA,31/08/2021,0
