District,"Cases Per 100,000","Hospitalisation Per 100,000","Deaths Per 100,000","test per 100,000","tracing per 100,000","treatment per 100,000"
SELUMA,5.54,1.44,0,20,0,5.49
BANGKALAN,5.18,9.36,2.99,15.45,6.26,28.9
HALMAHERA BARAT,5.06,4.82,0,16.67,2.67,21.16
MURUNG RAYA,5.04,37.89,0,0,0,42.19
GARUT,4.95,2.06,0.15,9.69,11.86,14.75
SERANG,4.95,2.78,0.2,12.18,3.5,18.18
PATI,4.91,0.84,0.24,6.24,17.58,4.44
BATANG,4.9,0.94,0.64,9.35,4.57,6.23
BUTON,4.88,0,0.98,0,0,0
BLORA,4.86,1.88,0.93,9.04,4.83,5.97
OGAN KOMERING ULU SELATAN,4.84,1.46,0.81,54.55,0,18.1
MUNA BARAT,4.82,1.21,0,0,0,16.67
SUPIORI,4.82,0,0,60,0,0
SUMENEP,4.47,1.33,0.18,8.52,11.51,7.14
BANYUASIN,4.33,3.61,0.57,33.15,2,19.58
LAHAT,4.32,1.51,0.48,20.89,0,9.38
OGAN KOMERING ULU,4.24,4.84,1.59,9.09,2,25.75
PEMALANG,4.08,2.89,0.31,5.58,9,13.32
KOTA BAU BAU,4.08,8.66,0.58,6.12,3,20.35
LAMPUNG UTARA,4.02,5.47,4.67,44.07,0,32.38
KOTA TUAL,3.91,14.71,0,30.77,0,20.9
PEGUNUNGAN BINTANG,3.9,0,0,0,0,0
TULANG BAWANG,3.9,2.2,1.08,77.78,0,9.75
MALUKU TENGAH,3.72,7.71,0,25.71,1.89,26.36
NDUGA,3.59,NA,0,NA,0,NA
HALMAHERA TENGAH,3.52,0,0,0,0,0
BENGKULU SELATAN,3.42,4.07,1.14,36.36,3,11.34
KOTA SUNGAI PENUH,3.38,NA,0,55.56,1,NA
KAUR,3.23,0.46,0.81,5.41,0,2.2
BUTON UTARA,3.14,1.57,0,0,0,14.29
MUSI RAWAS UTARA,3.05,4.21,0,14.29,15.5,41.43
BIMA,2.95,2.78,0.2,2.56,12.67,7.86
KEPULAUAN SELAYAR,2.94,1.78,0,20,5.17,13.49
EMPAT LAWANG,2.73,0.39,0,35.71,3.5,5.26
MALUKU BARAT DAYA,2.72,0,0,66.67,0,0
KEPULAUAN TANIMBAR,2.66,0.13,0,73.33,0,0.65
SERAMBAGIAN TIMUR,2.64,0.13,0,0,0,0.79
GROBOGAN,2.54,1.48,0.22,4.68,13.45,4.07
SERAMBAGIAN BARAT,2.31,0.58,0,0,0,3.85
SAROLANGUN,2.29,1.21,0.33,20.27,4,7.01
OGAN KOMERING ILIR,2.11,1.83,1.52,34.48,0,36.21
PEKALONGAN,2.11,1.68,0.44,11.9,3.63,18.34
KUDUS,1.92,1.91,0.79,2.51,5.31,5.22
NIAS SELATAN,1.84,0.13,0,0,0,2.38
PUNCAK,1.77,NA,0,0,0,NA
PADANG LAWAS UTARA,1.74,0.7,0,24.14,1.5,6.67
BURU SELATAN,1.59,NA,0,17.65,0,NA
YALIMO,1.48,NA,0,0,0,NA
PANIAI,1.17,3.09,0,0,0,44.05
MANDAILING NATAL,1.09,0.94,0,0,1,7.79
BUTON TENGAH,1.07,0,1.07,0,0,0
KEPULAUAN SULA,0.98,0,0,0,22,0
MUNA,0.89,1.33,0.44,14.29,4,3.57
PUNCAK JAYA,0.77,3.09,0,0,0,33.33
PEGUNUNGAN ARFAK,0,NA,0,0,0,NA
MAYBRAT,0,NA,0,0,0,NA
MANOKWARI SELATAN,0,0,0,66.67,0,0
MAMBERAMO RAYA,0,NA,0,0,0,NA
KONAWE KEPULAUAN,0,0,0,0,0,0
KEPULAUAN ARU,0,0,0,9.47,0,0
INTAN JAYA,0,0,0,0,0,0
DOGIYAI,0,NA,0,NA,0,NA
DEIYAI,0,NA,0,0,0,NA
BUTON SELATAN,0,0,0,0,0,0
BURU,0,0.68,0,6.06,0,7.14
BULUNGAN,510.67,27.82,10.41,54.2,3,73.18
SAMOSIR,38.61,3.83,1.58,21.28,0,16.19
KOTA BOGOR,27.61,18.54,0.54,18.15,2,18.01
SIMEULUE,19.71,5.93,3.11,64.71,0,23.81
LAMPUNG TENGAH,7.91,7.6,1.77,72.73,2.8,32.95
KOTA TUAL,3.91,14.71,0,30.77,0.00.1,20.9
